🕘️更新时间,#genre#
2026-07-02 07:31:04,http://cdn6.163189.xyz/163189/fct

📺央视频道,#genre#

📡卫视频道,#genre#

☘️广东频道,#genre#

☘️山东频道,#genre#

🌊港·澳·台,#genre#
翡翠台,http://cdn6.163189.xyz/163189/fct
翡翠台,http://o11.163189.xyz/stream/tvb/fct/
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali
翡翠台,http://r.jdshipin.com/thuYX
明珠台,https://o11.163189.xyz/stream/tvb/mzt/
明珠台,http://r.jdshipin.com/ZQ4kN
明珠台,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
明珠台,http://o11.163189.xyz/stream/tvb/mzt/
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
纬来育乐,http://free.cnlive.club/channel/581c988d.m3u8?q=111.170.171.148
无线新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxw
无线新闻,https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn
靖天资讯,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv065
靖天资讯,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv065

🎬电影频道,#genre#
天映经典,http://free.cnlive.club/channel/n7e49c99a.m3u8?q=111.170.171.148

🎥咪咕直播,#genre#

🏀体育频道,#genre#
精品体育,https://epg.pw/stream/f7556eccd4ae06b0c2991fdc7a4f8388496559f728cc82459a8e50346040e226.m3u8
江苏体育,https://iptv.catvod.com/live.php?id=%E6%B1%9F%E8%8B%8F%E4%BD%93%E8%82%B2
睛彩广场舞,https://iptv.catvod.com/live.php?id=%E7%9D%9B%E5%BD%A9%E5%B9%BF%E5%9C%BA%E8%88%9E
风云足球,https://epg.pw/stream/6d7bf281e3d739806a73f5373acaa6e01988ec9739f5ac1355ce54b47a928472.m3u8

🪁动画频道,#genre#
七龙珠,https://live.ottiptv.cc/huya/11601966
七龙珠,https://live.metshop.top/huya/11601966
七龙珠,http://cdn.jdshipin.com:8880/huya.php?id=11601966
火影忍者,http://cdn.jdshipin.com:8880/huya.php?id=29465866
海绵宝宝,https://live.metshop.top/douyu/3949681
中华小当家,https://live.metshop.top/huya/11342413
猫和老鼠,https://live.ottiptv.cc/huya/11352879
猫和老鼠,https://live.metshop.top/huya/11352879
经典动漫,https://www.goodiptv.club/yy/22777075
漫画解说,https://www.goodiptv.club/douyu/5907076

🎵音乐频道,#genre#

🏛经典剧场,#genre#
笑傲江湖,https://live.metshop.top/huya/26355790
笑傲江湖,http://cdn.jdshipin.com:8880/huya.php?id=26355790
笑傲江湖,https://live.ottiptv.cc/huya/26355790
天龙八部,https://live.metshop.top/huya/23903123
鹿鼎记,https://live.ottiptv.cc/yy/28265277
西游记,http://live.ottiptv.cc/huya/20985836
西游记,http://cdn.jdshipin.com:8880/huya.php?id=30080242
西游记,https://lbds.us.ci/26355861
三国演义,https://live.metshop.top/huya/11602081
三国演义,https://live.ottiptv.cc/huya/11602081
三国演义,http://cdn.jdshipin.com:8880/huya.php?id=11602081
水浒传,https://live.ottiptv.cc/yy/1353873252
水浒传,http://live.ottiptv.cc/huya/26355860
新白娘子传奇,https://live.ottiptv.cc/yy/1354490667
封神榜,http://cdn.jdshipin.com:8880/huya.php?id=29465849
射雕英雄传,https://live.metshop.top/huya/23824164
射雕英雄传,http://cdn.jdshipin.com:8880/huya.php?id=23824164
射雕英雄传,https://live.ottiptv.cc/huya/23824164
